comment_id	comment_text	Label	Rationale	model_prediction
253764	"David and Charles Koch card is soooooo over played by the left it appears as ridiculous anymore. A quick check of the facts at least those openly known tell a far different story on who is spending money to control the establishment in both D and R parties. http://www.thegatewaypundit.com/2014/02/evil-koch-brothers-rank-59-in-political-donations-behind-18-different-unions/ https://docs.google.com/document/d/1DjwyrBp31d4r81P4H7eVjXwJ0R3IMhpO3C67_uGIqXU/edit The real stupidity comes when individuals or groups like Codepink claim ""Koch Kills Democracy"" When true democracy is nonexistent in the use of super delegates by democrats.  I believe it's safe to say they don't call them the donkey party because of their intelligent."	Toxic	['real stupidity', 'donkey party']	Toxic
253791	ISIS like to rape women, send him to ISIS.	Toxic	['rape', 'ISIS like to rape women']	Toxic
253860	The PC local liberal good old boy club permeates Eugene like the KKK of the 1950's south is in full campaign mode to put a babbling ignorant fool with 0 experience into office of Mayor to replace Queen Piercy. You can cut and paste their talking points, and gee, these clones are doing just that.	Toxic	['ignorant fool']	Toxic
254115	What a pile of shit. I love Bruce and I could write a better case against Bruce than this rubbish !	Toxic	['rubbish', 'shit']	Toxic
254222	I just - I just can't tell if you're serious. It's baffling. I'm baffled. So, Martin, are you telling us you invoked your grandfather as a virtue signal of your own working-class credibility, despite never having met him? How impossibly disrespectful of you. I'm glad your grandfather has passed; it spares him the heart-stabbing shame of an ungrateful, pedantic little snot of a grandson who would seek to ride his coveralls into righteousness. He deserves better than someone like you. The simple line in Atlantic City-   put on your stockings, babe / night's getting cold  has more weight as art than anything a weak-tea punk like you could create in a million lifetimes. I was deeply moved by that single, almost whispered line when I bought the album at the age of 22, in the year 2000. Did you know he recorded that record alone, on a 4-track? Do you even know what a 4-track is? He covered Suicide on that record, in 1982.  Do you even know who Suicide is, you smarmy little creep?	Toxic	['creep']	Toxic
254780	Nice come-back to quite a stupid comment.	Toxic	['stupid']	Non_Toxic
254837	creating additional taxes that removes money from the local economy and given to the highly inefficient government to spend.... NOW THAT'S A FOOLS ERRAND	Toxic	['FOOLS']	Toxic
254902	It would be nice to know whom I am addressing but the RG editorial board only hides behind unsigned editorials while mandating everyone else sign theirs. Had this educated wonder done their homework...The State of Alaska legalized marijuana in 1975 when their State Supreme Court ruled their citizens have the constitutional right to grow and consume marijuana. The federal government waging a war on drugs did nothing. Not even the Reagan administration went after the State of Alaska. Now that other states have done the same through the vote....this argument is ridiculous.	Toxic	['ridiculous']	Toxic
255170	You all need to quit talking about shit that is irrelevant. What's relevant is that a beautiful young woman is gone. Say some prayers for her children that got left behind and her mother who is devastated. It doesn't matter what info the police released or didn't release. It's really none of anyone's business until it is determined what exactly happened. The register guard really needs to stop with the publicity shit as well and allow a mother to grieve for her daughter without constantly having that wound reopens. Have some respect .	Toxic	['shit']	Non_Toxic
255938	Hate Kalis for this very reason. Same crap going on in the PNW too. Bastards.	Toxic	['Bastards', 'crap']	Toxic
256080	No, they are WOEFULLY IGNORANT and are ALLOWING THE FEDERAL GOVERNMENT to deny the CONSTITUTION.	Toxic	['No, they are WOEFULLY IGNORANT and are ALLOWING THE FEDERAL GOVERNMENT to deny the CONSTITUTION', 'WOEFULLY IGNORANT']	Toxic
256558	"Only a left wing moron could write such a ridiculous headline.  How about "" Why do virtually all terrorists turn out to be MUSLIMS?"""	Toxic	['terrorists', 'moron', 'ridiculous', 'Why do virtually all terrorists turn out to be MUSLIMS']	Toxic
257279	I wont hold my breath a liberal bigot like you will ever take a hard look at just how mentally ill you are and get help	Toxic	['liberal bigot', 'mentally ill']	Toxic
257498	Problem:  The deluded and corrupt fools leading the legislative majorities have a lock on power because they keep getting reelected by their loyal but clueless constituents, largely due to gerrymandered districts.  The rest of us can't vote them out of office if we're not in their districts.  Solution:  Take the majority away from them.  How?  By voting out any of your own legislators that are in the majority.  Even though they might be reasonably good reps, if they're in the majority, they're part of the problem because they empower the likes of Chenault and his cronies.  If you don't like what this legislature is doing, you need to sacrifice your own reps to fix it.	Toxic	['The deluded and corrupt fools']	Toxic
257756	What the fuck is with this 'civil comments' horseshit? We don't have ENOUGH censorship from these communist fuckwits at ADN?!! ADN CAN FUCKING CHOKE.	Toxic	['horseshit', 'What the fuck', 'FUCKING CHOKE', 'fuckwits']	Toxic
257898	Miserable?  Me? Over white guilt?  No, not at all. How about you Don?....No?....I didn't think so..... Just being you is misery enough for anyone.	Toxic	['Miserable']	Toxic
258667	"Senator, I'm jaded.  Too often ""We must invest in Alaska's future"" is analogous to one fool convincing other fools into believing they can get a pile of granite rocks to burn.  They gather the rocks,  pour gasoline (i.e. state money) onto the rocks, throw a match and BOOM - there comes a huge ball of fire, with plenty of heat and smoke. They immediately celebrate their collective genius and return to the house.  The next day they go outside and discover nothing but a pile of warm rocks. So what do the do?  They try again to get the granite rocks to burn and again they fail.   So then they decide that they chose the wrong type of rocks. So they gather shale rocks  which are a different color (yet  just as inert).  Proclaiming they have found the solution they pour even more gasoline (state money) onto this ""new"" pile of rocks and the cycle repeats itself with exactly the same results.  Saddly,  until the gasoline (state money) runs out they never quit trying to get those rocks to burn."	Toxic	['fool', 'fools']	Toxic
259064	Socialism, FAILS EVERY TIME. Always has, always will. Welfare idiots love handouts, always have , always will.	Toxic	['idiots']	Toxic
259070	Well said. Another misfit socialist failure. Bernie is proof that babies still get dropped on their heads.	Toxic	['Bernie is proof that babies still get dropped on their heads']	Toxic
259196	Had no idea there were so many stinkin, rotten, douchebag democrats in our great state....wow....	Toxic	['stinkin, rotten, douchebag democrats', 'rotten', 'douchebag', 'stinkin']	Toxic
259421	They later came out and said they had counted cards from Hillary supporters who had left early and she ended up with 86 votes.  What a screw up.	Toxic	['They later came out and said they had counted cards from Hillary supporters who had left early and she ended up with 86 votes. What a screw up']	Non_Toxic
259571	"I am 56 years old, I am not your fucking junior pal. What you are saying makes no sense. I don't know what you are basing this on. The cheap black market crap is still coming up from Mexican nationals, and the good stuff from BC and Humbolt.  The I5 corridor is still just as busy, and they are still making a ton of money. Nothing has really changed except that the legal market has made it easy for anyone of legal age to buy it.  And the legal market is controlled by corporate growers with million dollar facilities, or a co-op of smaller growers. The Federal government ""war on drugs"" really has no impact on the legal market in Oregon. I don't see any glutton of weed, whatever that means."	Toxic	['fucking', 'cheap black', 'crap', 'The cheap black', 'glutton of weed']	Toxic
259980	"""Free shit for everyone"" supporters have no clue what you're talking about, but you're right. Their tax rates for their middle class are unbearable and discouraging."	Toxic	['shit']	Non_Toxic
260143	Because donald trump is a hateful windbag with old family money; Obama earned his way into the presidency within the law.	Toxic	['presidency', 'hateful windbag']	Toxic
260669	Lela, for an educated lady and a writter you certainly seem ignorant of basic facts.	Toxic	['ignorant']	Toxic
260933	Exactly. These scandalous groups plan this crap while the average person knows not what goes on.	Toxic	['crap', 'These scandalous groups plan this crap while']	Toxic
261013	You have your mind made up, so do I, facts do not interest you, so I will bid you goodbye. Do continue to espouse taking from the rich and giving to the poor and when there are no rich left, you will find someone else to blame. Look honey, you cannot make the poor rich by making the rich poor, but you go on with that and lemme know how that hopey changy thing works out for you. Did that idiot do anything he promised, or do you stick to the socialist mantra regardless of how they actually perform? Oh, that was a rhetorical question. It means you don't need to answer it. I'm outta heah, ya'll play nice now, y'heah?	Toxic	['idiot']	Toxic
261034	Microagression and liberal white guilt.	Toxic	['white guilt']	Non_Toxic
261077	"On the one hand liberal dementia demands we protect every last acre of ""farmland"" from development, and then on the other hand liberal dementia demonizes the farmer for irrigating their fields. No matter how many times liberal bigots flag the post and remove it, it doesn't change the fact they are despicable staggering hypocrites."	Toxic	['the one', 'hypocrites']	Toxic
261199	"Exactly how are Ms. Dodd's mere words more harmful than the deep-seated and pervasive criminal behavior of Portland negros? Did anyone bother to note that many corrections deputies are black? Is it ""racist"" when a black deputy turns the firehose on a misbehaving negro inmate? What if he hoses down a white tweeker? Is that racist?"	Toxic	['how']	Toxic
262198	The gay community is the most oppressive organization out there and your comment reflects that! They allow NO DISSENT, yet this country is built on it.	Toxic	['gay', 'he gay community is the most oppressive organization out there']	Toxic
262480	I'm glad the RG published this idiot's ugly picture.  As heinous of a crime he committed, he needs to be publically punished.  He needs a real spanking before shipping him off, to prison.  What an animal!	Toxic	['idiot', 'punished', 'animal']	Toxic
262994	darn federal over-reach	Toxic	['federal', 'reach']	Non_Toxic
263196	My god, how dare you confuse this person with simple facts! You have some nerve. Thank God the RG gives the truly stupid people of Eugene a voice on their op-ed page.	Toxic	['stupid']	Toxic
263244	dumber than a 5th grader ...check my poll	Toxic	['check', 'check my poll', 'dumber']	Toxic
263635	prosecute the bastards.	Toxic	['bastards']	Toxic
263916	I explained exactly why you are an ignorant fool who has absolutely no idea what you are talking about. You just proved my point all the more as you are incapable of refuting anything I referenced exposing your ignorance.  talk about snarky jerks and windbags, you called out a county commissioner running your mouth like a snarky windbag jerk, pawning off pure ignorant stupidity as fact. Like a coward you will not address the facts I referenced, and as usual post something more fit for a public bathroom wall.	Toxic	['coward', 'stupidity', 'ignorant fool', 'ignorant stupidity', 'ignorance', 'your ignorance', 'snarky windbag', 'ignorant', 'fool', 'windbags', 'jerk', 'snarky jerks']	Toxic
263993	A pot head telling the rest to stay off drugs, stupid.	Toxic	['stupid']	Toxic
264071	Red Light running with a wreck and/or injury should be a jailable offense. It is incredibly stupid and dangerous. It is beyond reckless. It is selfish, inconsiderate, and foolish.	Toxic	['stupid', 'selfish', 'foolish']	Toxic
264091	Canada's ash my ass, its Alaska's ash!	Toxic	['ass']	Non_Toxic
264175	Eligible Americans appear to enjoy Medicaid, Medicare, Social Security, Unemployment Benefits, Workers' Comp., Corbel; and so will you when and if you live long enough to enjoy the first three federal bennies.  Stop being a hypocrite.	Toxic	['hypocrite']	Toxic
264192	Wow dumber than dumb,..Lol	Toxic	['dumb', 'dumber']	Toxic
264250	FUCK YOU!!!!!	Toxic	['FUCK YOU']	Toxic
264372	And the reason they brought the drugs down there is because..... There are plenty of idiots who are willing to blow their paychecks on it.	Toxic	['idiots']	Toxic
264520	You proved my point. You are incapable of posting anything remotely intelligent. When your profound stupidity is exposed with facts you cannot refute you are incapable of manning up because you have no idea how to be a man. Every time you flag the post like a coward you make my point.	Toxic	['stupidity', 'coward', 'you have no idea how to be a man', 'You are incapable of posting anything remotely intelligent']	Toxic
264813	old soul, you post ignorant stupidity time and time again, and then when your ignorant stupidity is thoroughly debunked with facts you cannot refute you are incapable of manning up as you have no idea how to be a man. Like most liberals you are a gutless coward who flags the post then responds with a grade school insult with all the debate skills of a stoned 14 year old drop out loser who can't handle his weed. No matter how many times you flag the post you're still a chicken&^%$ coward who makes crackheads sound bright and educated. But I will always say in defense of liberals like you, you can only work with the *^$# fer brains you were born with. You are most assuredly the biggest coward on this board.	Toxic	['stupidity', 'ignorant', 'crackheads', '*^$# fer', 'coward', 'loser', 'chicken&^%$']	Toxic
264846	Why not just shoot him and put him in the freezer?	Toxic	['shoot']	Toxic
265078	I meant re: Young's class. He only yells at people who know he is a stupid old man out of touch with Alaska and reality.	Toxic	['meant', 'stupid', 'stupid old man']	Toxic
265090	I expect such gutless cowardly behavior from you. I expect you to post stupidity online, they run like a gutless coward when your stupidity is addressed with facts you cannot refute. You do stupidity and chicken*&^% better than anyone else in this forum. Run coward run.	Toxic	['stupidity']	Toxic
265164	Free shit for everyone! No thanks! Pay your own way.	Toxic	['Free shit', 'shit']	Toxic
265357	Matthews pestered Trump as in badgered, hounded, nagged, hassled etc. him into saying something stupid. This from a guy who once said he was glad Hurricane Sandy hit the northeast because it helped Obama get elected. I don't support Trump, just think Matthews is a hypocrite and dirtbag.	Toxic	['badgered', 'dirtbag', 'hypocrite']	Toxic
265501	Margaret Conaway, thank you for your excellent letter!  And yes Kelly is insane.	Toxic	['insane', 'yes Kelly is insane']	Toxic
265553	"Wow, this trash is regarded as journalism... that is what is wrong with the education of our peoples.  Where is the headline "" Murkowski tries to railroad state and gov by keeping us locked into resource raping with no renewables in sight""  As anyone who was in Fairbanks on Monday for the Senate Energy hearing can offer freely..... what an utter and total sham.  Not a single panelist was a representative for what over 76% of the entire states wants and even willing to use our PFD to finance...."	Toxic	['trash']	Toxic
265704	Redheads are a problem. Quick to take offense, quick to reach for the knife. My sister is a perfect example.	Toxic	['offense']	Toxic
265771	hahaha Yeah we dont do dumb ass shit like this....we are real criminals who help the economy that these citizens suck dry.	Toxic	['dumb ass shit', 'shit']	Toxic
265817	"And these morons even admit, ""it's not what the public wants""! Guess they'll learn what the public wants next election."	Toxic	['morons']	Toxic
265958	Silly goose, and you say your $6 billion dam is a great project? LOL	Toxic	['Silly', 'Silly goose']	Toxic
266159	April fools!  This is a joke right? You are supposed to at least pretend you're not completely inept and corrupt. SMH	Toxic	['inept and corrupt', 'inept', 'corrupt']	Toxic
266182	"Are u stupid... did you not read article small amount of Marijuana...... massive amounts of meth and herion .... yep blame it on weed.... you obviously  never smoked any. If so you would realize a ""reffer"" head would have been to lazy and hungry to steal a boat.. as a matter of fact. I guarantee  alcohol  which is legal same as Marijuana  played huge part in this... not defending the meth heads or tweakers out there,  but really your simple minded antics are what is wrong with our community..."	Toxic	['stupid']	Toxic
266388	What a jerk.  Sounds like he should drink less of his product.	Toxic	['jerk']	Toxic
266455	OK, so-called Last Patriot, what about Catholic priests that hide behind their collar as they're raping children and they just get moved from parish to parish.  Isn't this the height of hypocrisy?  And what about the Catholic gay or lesbian church member.  Don't they have rights too?  This issue will wind back up in the US Supreme Court where it needs to be.	Toxic	['raping', 're raping children and they just get moved from parish to parish. Isn']	Toxic
266728	Umm yes they do actually becuase I know the person that was involved and he did have a very nice red truck, you guys with all your opinions and acuzatiins, yes I think they fucked up tremendously but JAIL in not the key, there ADDICTS Obviously and NEED fucking help PERIOD...	Toxic	['fucking', 'fucked up', 'they fucked up', 'NEED fucking help']	Toxic
267288	This peer review of comments is communist censorship horseshit. Fuck ADN and their censorship.	Toxic	['censorship', 'horseshit', 'Fuck ADN', 'Fuck', 'communist']	Toxic
267488	you're a complete idiot boyd. an idiot beyond measure. a troglodyte living under a rock for the last thousand years could tell you a story or two about marjuana. but you're far too austere and stupid for a world with anyone but yourself inhabiting it.	Toxic	['idiot', 'troglodyte', 'austere and stupid']	Toxic
267571	Either you're being sarcastic or just an idiot Boyd, because you CAN'T be that thick....	Toxic	['idiot']	Toxic
267587	Sounds like he is the only crazy one.	Toxic	['only crazy one', 'crazy']	Non_Toxic
267759	Right, thanks to lower oil prices, and also for charging for every stupid thing that used to be free.	Toxic	['stupid']	Toxic
267953	Sooooo, by your logic, Medred is the perv? Yeah. We ladies love to be protected by big, Bluto, stupid guys like yourself. No wonder we are self-sufficient.	Toxic	['stupid', 'wonder']	Toxic
267960	Young, you lost my vote.  Kasich is a fool & a liar.  If you knew him this long you should know this.	Toxic	['fool & a liar']	Toxic
268034	I lost my damn comment!  Crap Pluto.  I had a good one that I thought we could discuss.	Toxic	['damn', 'Crap']	Toxic
268173	The only ones who favor this are educated morons who have never ran a business in their life, have absolutely no idea what it takes to make payroll much less create jobs, because the only thing they have ever ran is their mouth and frankly they suck at that too. Unions are the ones backing this profound stupidity as they are masters at killing business and jobs while bankrupting communities. They are bound and determined to return Oregon to the days we were known as Tax He11, USA and were in recession year after year running high unemployment.	Toxic	['morons', 'stupidity', 'suck']	Toxic
268343	You would think the Don would like the Donald: they are both idiots.	Toxic	['idiots']	Toxic
268506	"HER miles...Where's the damn ""Edit"" feature????"	Toxic	['damn']	Toxic
268510	Given the   effusion of  murder  and  death that   comes out of  Anchorage  daily,  perhaps   everyone who lives in AK   should wear  a  yellow  star that  says.....  I'm  Alaskan,  I'm   drunk  and I'm  stupid.   Now, really,  you  know  that isn't going  to fly.   Come live rurally  in the  lower 48  and  you'll find   exactly   the  same  crap  occurring   daily.   Blame it on substance abuse, yes, I'll get  on  that train. It is everywhere  and  anywhere  people   live.   Don't  blame it  on a village  in AK because  it  is   even more  prevalent  outside the  villages.	Toxic	['crap', 'stupid']	Toxic
268541	We  don't know that it  was  swept under the carpet.   Craig  would like us to think so, but   Sarah Stokey  says  no,  she's  been  made whole, the ITC  is with her,   stay the  F out  of  the  discussion  as  she asked .      Sarah was   there, not   Craig,  and  not  you, or  I  or  anyone  else.  Crap  like that  happens   umpteen times  a day,  in Nome,  Fairbanks,  Anchorage,  Juneau  and  every other  town, city, village  in or out  of   Alaska.       Yes, it  is often  due to  substance  abuse,  which  could be  anything    from   homebrew    to    legally purchased  alcohol,  or  further  into  illegal  drugs.   The  fact  that  it is  Nulato  and during  the Iditarod   doesn't  change the  fact  that  this  sort  of  crap  behavior   also  occurs   everywhere  humans   choose to  be stupid.  The  thousand  miles  between   Anchorage and  Nome  are  safer  than  staying  11  days in Anchorage.	Toxic	['Crap']	Non_Toxic
268647	"Using and dealing marijuana? It really isn't a question just a fact no one starts out shooting heroin. So keep on smoking Oregon look what you have to look forward to ""that damn heroin""."	Toxic	['that damn heroin', 'damn']	Toxic
268664	"""educated morons"""	Toxic	['morons']	Toxic
269068	and your post reminds me there is no cure for stupidity. you're screwed Junior	Toxic	['stupidity', 'screwed']	Toxic
269132	"The only morons I see hear are those who rated your comment as ""civil""."	Toxic	['morons']	Toxic
269403	Cool, let's go shoot more sh*t!!!	Toxic	['sh*t']	Toxic
269682	Fuck this asshole and fuck ADN with it's fascist peer reviewed comment censorship.	Toxic	['ADN', 'Fuck', 'fuck', 'asshole']	Toxic
269688	you can remove the post all you want, the fact still remains your post reminds me there is no cure for stupidity, you're screwed Junior	Toxic	['stupidity']	Toxic
269764	“Government! Three fourths parasitic and the other fourth Stupid fumbling.”  ― Robert A. Heinlein	Toxic	['Three fourths parasitic', 'Stupid', 'parasitic', 'fumbling']	Toxic
270320	"I have yet to hear a plausible  argument why a community should ban cannibis related businesses...it's usually a ""reefer madness"" style statement about "" not wanting that here"".... Well.... Unless you're walking around with a bag on your head you'd notice it's already here..... Don't be stupid , KPB...."	Toxic	['stupid', 'madness']	Toxic
270430	Go ahead do it...just pay their fare/hotel to Alaska....anything to look good on the oil field. Damn State.	Toxic	['Damn']	Toxic
270448	"""Rampage,"" I've been on the slope so spare me. Morons paid 6 figures to stand around in the cold talking about safety with a smirk all day. You, on the other hand, know nothing about what I do. A lot of us libs make good money and are fine with paying taxes because we appreciate what we're a part of."	Toxic	['Morons']	Toxic
270672	Yeah, unfortunately, we have way more than our fair share of morons in Alaska. And, they vote.	Toxic	['morons']	Toxic
270725	You're just begging for a good bitch slapping aren't you?....	Toxic	['bitch']	Toxic
271064	What a freakin idiot	Toxic	['idiot', 'freakin idiot']	Toxic
271319	Here is a better idea, reduce the tax, & regulatory burden so that the U.S. companies are not forced to look elsewhere in order to survive.  Unfortunately, the Obama Democrats are economic idiots, who view those that create  jobs as, at best, a cash cow to be milked to death, at worst, the enemy.	Toxic	['idiots']	Toxic
271421	Yet another softball issue for this idiot. Still not impressed with Ohio Dan.	Toxic	['another', 'idiot']	Toxic
271673	Oil made Alaska a crap hole. I'm hoping the lack of it will make Alaska great again!	Toxic	['crap hole']	Toxic
271847	"So...  You used to be into commercial bands that were once great back in the 1990's (Smashing Pumpkins, NIN). Then, you ""discovered"" Crust Punk and completely flipped over the course of a year. Now, you listen to commercial bands that are shitty now (Pearl Jam, TEB) and lament upon what an ""asshole"" your former Crust self use to be.  So long. Punk is not missing you."	Toxic	['asshole']	Toxic
271939	Yes, but the government does have the right to shield the taxpayers from having to bear the cost of rescuing the stupid ones at Arctic Man!	Toxic	['stupid', 'Arctic Man']	Toxic
272289	No not like the rest of us. She was fired because she was a corrupt crook. It was her choice.	Toxic	['crook', 'corrupt']	Toxic
272303	"""Now who do I blame?” he asked, pointing to the audience. “The people. A bunch of idiots following Pied Piper over the edge of the cliff. That's who I blame. They ought to know better than that. I mean, nobody wants to read anymore. No one wants to find out the background anymore. And they blame Donald Trump. I blame the people. This paragraph taken from the above story.  I wonder if Don realizes those same ""bunch of idiots"" have continued to elect him for the past 40 years......."	Toxic	['bunch of idiots', 'idiots']	Toxic
272539	In other words Don you are in favor of a Cuban Communist Cruz and a shit for brains Kasich. I think Don Wand you are losing it. You know Donald Trump would not be a Washington Cartel, like all the rest of Obama rear-end kissing jerks.	Toxic	['jerks', 'Washington Cartel', 'rear-end kissing jerks', 'shit']	Toxic
273180	Sheesh when I was in middle school (not too terribly long ago, early 1990's) a simple fight got you suspended for a few days. That was IT. You learned your lesson and didn't have to have your life ruined over some trite BS. I see now that if you're a kid and get into a fight, cops will arrest you, charge you with a felony, and smear your character... Damn near two weeks after the fact! School-to-prison pipeline in stark affect! Absolutely disgusting...	Toxic	['disgusting', 'when']	Toxic
273280	you have my vote! Those idiots in Juneau, I wonder who voted against this unnecessary stupid law.	Toxic	['stupid', 'idiots', 'stupid law']	Toxic
273333	This is not good journalism, the yea's and nay's should be named in the article. The public has a need to know. There isn't even a vote count, pathetic. Rashah, you are usually better than this.	Toxic	['pathetic']	Toxic
273625	Hot Wire Electric will be paying serious damages for their stupidity.	Toxic	['stupidity']	Toxic
273779	Don't need new revenue when Alaska is giving nearly a billion dollars to the oil and gas industry in tax credits and pipeline investment.  Really, how much has Alaska given away in the past couple years?  and for what?  a measly 5,500 barrel increase in production?  at $40 a barrel Alaska has given billions and new production totals $220,000.   No to TAXES.  No to messing with the Permanent Fund or Dividend.  Stop squandering Alaska's wealth on foolish expenditures.	Toxic	['past']	Toxic
274426	Does that mean we can call him a 'loser', now?  Just askin'...	Toxic	['loser']	Toxic
274855	Anna MacKinnon is giving Kelly a real challenge as being the most boneheaded of the bunch in the State Senate.	Toxic	['boneheaded']	Toxic
274888	Mike Hawker you are just a vindictive  jerk!	Toxic	['vindictive jerk', 'jerk']	Toxic
274920	"""ferret out the weasels""  damn!  I do not have a good comeback for that one.  Well played, ma'am, well played."	Toxic	['damn']	Non_Toxic
274968	"The First Amendment also applies to public universities. This isn’t a matter of debate, open a book or use a search engine.  Also, my first 2 comments got rated ""uncivil"" for calling you an idiot, so I'd appreciate if you apologized for calling us sexist bigots. Thanks."	Toxic	['universities']	Non_Toxic
