post_id	label	Text	post_tokens	maj_rationales	rationale_words	model_prediction
1178275818012860417_twitter	normal	<user> <user> <user> evidence this with links and articles show me a greater number of violated females by white men than mass murdered genocides of females at the hands of muslims muslim men have killed far more females with their misogyny and genocides than white men	[]	['<user>', '<user>', '<user>', 'evidence', 'this', 'with', 'links', 'and', 'articles', 'show', 'me', 'a', 'greater', 'number', 'of', 'violated', 'females', 'by', 'white', 'men', 'than', 'mass', 'murdered', 'genocides', 'of', 'females', 'at', 'the', 'hands', 'of', 'muslims', 'muslim', 'men', 'have', 'killed', 'far', 'more', 'females', 'with', 'their', 'misogyny', 'and', 'genocides', 'than', 'white', 'men']		hatespeech
23637308_gab	hatespeech	monday kike nigga kike tuesday nigga kike nigga wednesday kike nigga kike thursday nigga kike nigga friday kike nigga kike saturday nigga kike nigga sunday kike nigga kike repeat yawn	[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]	['kike', 'nigga', 'kike', 'nigga', 'kike', 'nigga', 'kike', 'nigga', 'kike', 'nigga', 'kike', 'nigga', 'kike', 'nigga', 'kike', 'nigga', 'kike', 'nigga', 'kike', 'nigga', 'kike']		hatespeech
9053284_gab	hatespeech	they average more in cali with the feeding program but the skunks and coons eat well too	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	['coons']		normal
1142977246283599872_twitter	normal	blue jeans white t shirt	[]	['blue', 'jeans', 'white', 't', 'shirt']		normal
17315138_gab	offensive	get the honky cat	[0, 0, 1, 0]	['honky']		normal
10733286_gab	hatespeech	god damned kike whore cunt so sure that none of those cowards could ever get to her in her hymiewood mcmansion	[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['kike', 'whore', 'cunt']		hatespeech
19792641_gab	hatespeech	ovomits a nigger and a half nigger	[0, 0, 1, 0, 0, 0, 1]	['nigger', 'nigger']		hatespeech
1171918006806618118_twitter	normal	he talking about hoes be thinking cause i buy you shit and give you money they gone get the same treatment 😭 😭	[]	['he', 'talking', 'about', 'hoes', 'be', 'thinking', 'cause', 'i', 'buy', 'you', 'shit', 'and', 'give', 'you', 'money', 'they', 'gone', 'get', 'the', 'same', 'treatment', '😭', '😭']		offensive
1123295873218293760_twitter	offensive	niggas really be tryna keep yu around just to be on some bullshit raggedy bitches	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	['bitches']		hatespeech
1188868820854808581_twitter	offensive	lool it bare gyal clown i see that get no gyal 😂 they just sad cus they get no bitches but do the most to get em 😭 try harder	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['bitches']		offensive
26349453_gab	hatespeech	as fully vested members of the same grisly club you can always count on the queers to side with the murderous abortionists in a moving display of solidarity among separate but equal planks in the culture of death ireland	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['queers', 'murderous', 'abortionists']		hatespeech
1179030288065859585_twitter	normal	so that is why mom brother who works in google a pakistani born married a local american women divorced her got married to a rich paki doctor wow ye concept hy phir they shifted to us great	[]	['so', 'that', 'is', 'why', 'mom', 'brother', 'who', 'works', 'in', 'google', 'a', 'pakistani', 'born', 'married', 'a', 'local', 'american', 'women', 'divorced', 'her', 'got', 'married', 'to', 'a', 'rich', 'paki', 'doctor', 'wow', 'ye', 'concept', 'hy', 'phir', 'they', 'shifted', 'to', 'us', 'great']		hatespeech
23069299_gab	hatespeech	dude you are a fucking idiot skepticism nihilism and trying to gaslight me are not arguments miss me with that kike shit	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	['kike']		hatespeech
1178605473743982594_twitter	normal	me 🤝 looking like a dyke every day	[]	['me', '🤝', 'looking', 'like', 'a', 'dyke', 'every', 'day']		offensive
1179025513970577408_twitter	normal	first mental breakdown of the year i fucking hate school	[]	['first', 'mental', 'breakdown', 'of', 'the', 'year', 'i', 'fucking', 'hate', 'school']		offensive
1178120616467161089_twitter	hatespeech	grown ass men doing women activities and lil faggot boys taking your daughter homecoming queen crown this what the fuck yall wanted	[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['lil', 'faggot', 'boys']		hatespeech
1178839028776484864_twitter	normal	<user> ah man i fucking hate you so much	[]	['<user>', 'ah', 'man', 'i', 'fucking', 'hate', 'you', 'so', 'much']		hatespeech
1178251992801533952_twitter	hatespeech	mohammad bin salman al saud ordered the bone sawing of an american journalist i said only thing i wanna see or hear from that camel jockey prince is screams bone sawing him up live on t.v. and twitter gives me <number> hrs in das hole damn snowflakes	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['camel', 'jockey']		hatespeech
21653890_gab	hatespeech	<user> you are an entire nigger	[0, 0, 0, 0, 0, 1]	['nigger']		hatespeech
1179081620541841408_twitter	offensive	<user> the white delegation has waived that white devil woman	[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]	['white', 'devil', 'woman']		hatespeech
1632755_gab	hatespeech	i wonder how long until they can get the nigger stink out of the white house	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	['nigger', 'stink']		hatespeech
1179078038673395712_twitter	normal	<user> <user> your sweeping vision is to rob the taxpayers to support illegals release criminal illegals into our communities to rape and murder our children and to bankrupt the residents and small businesses with more taxes rather than lowering taxes <user> <user>	[]	['<user>', '<user>', 'your', 'sweeping', 'vision', 'is', 'to', 'rob', 'the', 'taxpayers', 'to', 'support', 'illegals', 'release', 'criminal', 'illegals', 'into', 'our', 'communities', 'to', 'rape', 'and', 'murder', 'our', 'children', 'and', 'to', 'bankrupt', 'the', 'residents', 'and', 'small', 'businesses', 'with', 'more', 'taxes', 'rather', 'than', 'lowering', 'taxes', '<user>', '<user>']		hatespeech
1179073412578381827_twitter	normal	<user> they all look like me	[]	['<user>', 'they', 'all', 'look', 'like', 'me']		normal
13146695_gab	hatespeech	you are in the grip of meme malware that is what i fight also muzzie invader scum	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	['muzzie']		hatespeech
1179039117390340097_twitter	normal	me confuses theodore and we might watch game of his muslim ban got blocked by a nice meal	[]	['me', 'confuses', 'theodore', 'and', 'we', 'might', 'watch', 'game', 'of', 'his', 'muslim', 'ban', 'got', 'blocked', 'by', 'a', 'nice', 'meal']		normal
8394773_gab	hatespeech	ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy> security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks <happy>	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]	['niggra', 'niggra', 'muslims', 'would', 'blow', 'up', 'blacks', '<happy>']		hatespeech
1178525090847379458_twitter	normal	family has always been important to me and i will hunt down people who hurt them you are freakin retard she may be my niece but she your freakin daughter some mother you are leaving her for some other kids that are not your own	[]	['family', 'has', 'always', 'been', 'important', 'to', 'me', 'and', 'i', 'will', 'hunt', 'down', 'people', 'who', 'hurt', 'them', 'you', 'are', 'freakin', 'retard', 'she', 'may', 'be', 'my', 'niece', 'but', 'she', 'your', 'freakin', 'daughter', 'some', 'mother', 'you', 'are', 'leaving', 'her', 'for', 'some', 'other', 'kids', 'that', 'are', 'not', 'your', 'own']		hatespeech
23377953_gab	hatespeech	match <number> a nigger wins a championship match <number> a nigger wins the battle royal now <number> niggers are singing fuck this whole thing im gonna play gta5 fuck wrestlemania 😡	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['nigger', 'nigger', 'niggers']		hatespeech
15972271_gab	hatespeech	we need to go back and beat them and i mean hard so hard that the muzzies are to scared to ever step up in the world again crush their spirits now and brutally at that	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['muzzies']		hatespeech
17247779_gab	offensive	niggas say hahahaha you live with your mom hahaha you must be poor nigger i just spent <money> on a new computer for my mom kindly fuck off pls kthx <number>	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['nigger']		hatespeech
1184679550007029760_twitter	normal	egay o jungkook	[]	['egay', 'o', 'jungkook']		offensive
1179095515226607616_twitter	normal	<user> <user> nope it your imagination the tory party is full of white home county oaps	[]	['<user>', '<user>', 'nope', 'it', 'your', 'imagination', 'the', 'tory', 'party', 'is', 'full', 'of', 'white', 'home', 'county', 'oaps']		offensive
7020770_gab	hatespeech	zuckerberg loves live streamed violence such as gang rapes the pitiful jew cunt but call a wetback a wetback and you get <number> days fucking psycho	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]	['jew', 'cunt', 'wetback', 'wetback']		hatespeech
